iter	MultiClass
0	2.256212451
1	2.221698559
2	2.172691636
3	2.122122203
4	2.088619565
5	2.040615147
6	1.982649255
7	1.942147562
8	1.90534127
9	1.865763788
10	1.829997934
11	1.790319744
12	1.748325764
13	1.703749145
14	1.677325135
15	1.647364786
16	1.62093849
17	1.594758346
18	1.552669625
19	1.516125
20	1.490775397
21	1.460533532
22	1.431951939
23	1.40112701
24	1.373377389
25	1.341853168
26	1.316103101
27	1.29327485
28	1.276704567
29	1.253477693
30	1.231461572
31	1.20874268
32	1.189619603
33	1.170289182
34	1.152303179
35	1.133885494
36	1.115129838
37	1.099640541
38	1.077872019
39	1.058214606
40	1.04242553
41	1.022506749
42	1.006533746
43	0.9875287994
44	0.9686857984
45	0.9533888681
46	0.9392326716
47	0.925619144
48	0.9062636453
49	0.8943151503
50	0.880342935
51	0.8662411069
52	0.8513321759
53	0.8387242304
54	0.8277385501
55	0.8145850578
56	0.8008582146
57	0.7910143855
58	0.7791856437
59	0.7661768061
60	0.7544708776
61	0.7431268338
62	0.7327681074
63	0.721283425
64	0.7121576932
65	0.6998648776
66	0.6894563821
67	0.6812286404
68	0.6715098156
69	0.6610640773
70	0.6511892695
71	0.6424651246
72	0.6325033466
73	0.6223304045
74	0.6149087165
75	0.6066611798
76	0.5971953252
77	0.5890080789
78	0.5786671457
79	0.5685909711
80	0.5606700536
81	0.5521432168
82	0.5425265199
83	0.5348942258
84	0.5271130495
85	0.5185662215
86	0.5082831174
87	0.5007433383
88	0.4943672855
89	0.4862267954
90	0.4801901983
91	0.4734955481
92	0.4659287859
93	0.4601889259
94	0.4530572483
95	0.4449741652
96	0.4378683951
97	0.4309404226
98	0.4251151065
99	0.4187714049
100	0.4127831488
101	0.4065906251
102	0.400777583
103	0.3949418436
104	0.3902052378
105	0.3854559267
106	0.3810765741
107	0.3759927838
108	0.3703607361
109	0.3652841346
110	0.3598753255
111	0.3553817789
112	0.3511845823
113	0.3467560557
114	0.3423396308
115	0.3371198989
116	0.3329747848
117	0.3290988182
118	0.3250149659
119	0.3213188242
120	0.3170766189
121	0.3132951603
122	0.3089658432
123	0.3049164172
124	0.300662106
125	0.297561765
126	0.2934121993
127	0.2897427585
128	0.2856984819
129	0.2823838996
130	0.2791103134
131	0.2756872074
132	0.2724839336
133	0.2694854999
134	0.2668962976
