iter	Passed	Remaining
0	111	111191
1	120	59933
2	136	45403
3	145	36145
4	156	31167
5	163	27081
6	170	24191
7	179	22213
8	184	20343
9	205	20366
10	217	19580
11	224	18521
12	230	17486
13	236	16665
14	243	15975
15	251	15447
16	261	15094
17	266	14542
18	281	14535
19	292	14322
20	304	14188
21	308	13714
22	313	13305
23	317	12913
24	322	12577
25	327	12268
26	332	11995
27	336	11689
28	340	11416
29	345	11159
30	349	10925
31	353	10689
32	358	10508
33	362	10312
34	367	10146
35	372	9961
36	375	9778
37	380	9625
38	384	9469
39	388	9332
40	392	9191
41	397	9059
42	401	8938
43	406	8823
44	410	8707
45	413	8585
46	417	8470
47	421	8367
48	426	8274
49	431	8192
50	435	8099
51	440	8025
52	443	7929
53	448	7856
54	452	7769
55	457	7704
56	460	7624
57	465	7567
58	470	7497
59	474	7432
60	478	7359
61	481	7285
62	485	7222
63	490	7167
64	494	7113
65	498	7051
66	502	6993
67	506	6946
68	511	6896
69	516	6856
70	520	6807
71	524	6761
72	528	6713
73	533	6672
74	537	6628
75	541	6588
76	547	6560
77	551	6519
78	556	6482
79	559	6437
80	563	6397
81	567	6355
82	571	6314
83	576	6281
84	579	6237
85	583	6205
86	590	6196
87	595	6172
88	599	6134
89	603	6105
90	607	6065
91	611	6032
92	615	6005
93	620	5982
94	624	5952
95	629	5924
96	634	5904
97	638	5875
98	643	5855
99	647	5826
100	651	5799
101	655	5771
102	659	5746
103	664	5725
104	670	5713
105	673	5681
106	679	5670
107	684	5651
108	689	5637
109	693	5614
110	699	5598
111	703	5578
112	706	5548
113	711	5531
114	718	5527
115	722	5504
116	725	5475
117	730	5457
118	734	5434
119	738	5417
120	743	5399
121	749	5393
122	754	5382
123	760	5373
124	764	5350
125	769	5339
126	774	5322
127	778	5303
128	782	5283
129	786	5265
130	791	5250
131	798	5250
132	802	5234
133	807	5217
134	810	5195
135	815	5177
136	819	5161
137	824	5152
138	829	5137
139	833	5121
140	838	5107
141	841	5084
142	845	5065
143	849	5050
144	854	5038
145	858	5023
146	862	5007
147	867	4995
148	871	4978
149	876	4966
150	879	4947
151	884	4934
152	888	4917
153	893	4907
154	897	4890
155	901	4875
156	906	4865
157	909	4848
158	915	4840
159	919	4825
160	923	4812
161	927	4797
162	933	4794
163	937	4779
164	942	4769
165	947	4758
166	951	4748
167	958	4744
168	964	4740
169	968	4727
170	974	4723
171	980	4717
172	985	4713
173	991	4707
174	996	4698
175	1002	4695
176	1007	4685
177	1012	4675
178	1016	4662
179	1024	4666
180	1029	4660
181	1034	4649
182	1040	4646
183	1044	4632
184	1050	4629
185	1054	4616
186	1062	4620
187	1067	4612
188	1072	4601
189	1077	4594
190	1082	4586
191	1088	4580
192	1092	4569
193	1098	4562
194	1102	4549
195	1107	4542
196	1111	4529
197	1116	4520
198	1120	4511
199	1125	4502
200	1130	4495
201	1136	4490
202	1141	4482
203	1145	4471
204	1150	4460
205	1153	4444
206	1157	4434
207	1161	4423
208	1167	4417
209	1170	4405
210	1176	4400
211	1180	4389
212	1186	4385
213	1191	4375
214	1196	4367
215	1201	4360
216	1206	4354
217	1211	4347
218	1217	4340
219	1222	4332
220	1226	4322
221	1229	4310
222	1235	4304
223	1240	4297
224	1245	4291
225	1250	4283
226	1254	4272
227	1259	4264
228	1263	4254
229	1267	4243
230	1273	4237
231	1277	4227
232	1282	4222
233	1285	4206
234	1290	4200
235	1296	4195
236	1301	4188
237	1306	4183
238	1309	4168
239	1313	4159
240	1321	4160
241	1326	4154
242	1331	4146
243	1337	4143
244	1341	4133
245	1346	4127
246	1351	4120
247	1356	4113
248	1361	4106
249	1369	4107
250	1373	4099
251	1380	4096
252	1385	4091
253	1390	4084
254	1397	4082
255	1401	4072
256	1407	4068
257	1411	4060
258	1419	4061
259	1424	4053
260	1429	4048
261	1435	4042
262	1439	4034
263	1445	4029
264	1450	4022
265	1456	4017
266	1460	4008
267	1464	3999
268	1467	3989
269	1472	3982
270	1477	3974
271	1480	3962
272	1485	3956
273	1490	3948
274	1497	3947
275	1502	3942
276	1507	3934
277	1512	3927
278	1517	3921
279	1522	3914
280	1526	3906
281	1531	3898
282	1535	3891
283	1541	3885
284	1545	3877
285	1548	3866
286	1553	3860
287	1558	3853
288	1564	3849
289	1570	3844
290	1574	3836
291	1579	3830
292	1585	3825
293	1591	3821
294	1595	3813
295	1602	3811
296	1606	3802
297	1611	3796
298	1615	3787
299	1619	3779
300	1624	3772
301	1629	3766
302	1634	3759
303	1639	3753
304	1643	3744
305	1647	3737
306	1652	3729
307	1656	3720
308	1660	3713
309	1664	3704
310	1669	3698
311	1673	3690
312	1678	3683
313	1681	3674
314	1686	3666
315	1690	3660
316	1696	3654
317	1700	3647
318	1705	3641
319	1710	3635
320	1716	3631
321	1721	3623
322	1726	3618
323	1730	3611
324	1735	3605
325	1739	3597
326	1744	3591
327	1749	3585
328	1755	3580
329	1759	3573
330	1765	3568
331	1769	3560
332	1775	3555
333	1780	3549
334	1785	3544
335	1790	3538
336	1796	3535
337	1801	3528
338	1806	3523
339	1811	3516
340	1815	3508
341	1819	3500
342	1823	3493
343	1828	3486
344	1833	3480
345	1837	3473
346	1841	3466
347	1845	3458
348	1849	3449
349	1853	3442
350	1857	3434
351	1861	3427
352	1865	3419
353	1870	3412
354	1874	3406
355	1880	3402
356	1884	3394
357	1888	3385
358	1892	3379
359	1896	3371
360	1901	3365
361	1906	3359
362	1911	3355
363	1914	3345
364	1920	3340
365	1924	3334
366	1929	3328
367	1933	3320
368	1936	3312
369	1942	3306
370	1946	3300
371	1950	3292
372	1953	3284
373	1957	3276
374	1963	3272
375	1968	3266
376	1973	3261
377	1980	3258
378	1984	3252
379	1990	3248
380	1995	3241
381	1999	3235
382	2004	3228
383	2008	3222
384	2013	3215
385	2019	3212
386	2026	3209
387	2031	3203
388	2036	3198
389	2040	3192
390	2046	3187
391	2051	3181
392	2055	3174
393	2060	3169
394	2067	3166
395	2071	3159
396	2076	3153
397	2080	3146
398	2084	3140
399	2088	3133
400	2093	3127
401	2098	3121
402	2102	3114
403	2106	3108
404	2110	3101
405	2115	3095
406	2119	3088
407	2124	3082
408	2128	3075
409	2131	3067
410	2136	3061
411	2140	3054
412	2145	3048
413	2146	3038
414	2150	3031
415	2155	3025
416	2158	3018
417	2163	3011
418	2167	3004
419	2170	2997
420	2174	2990
421	2178	2983
422	2183	2978
423	2187	2971
424	2193	2967
425	2197	2960
426	2201	2954
427	2205	2947
428	2210	2942
429	2214	2935
430	2218	2929
431	2224	2924
432	2228	2918
433	2233	2912
434	2237	2905
435	2241	2899
436	2244	2892
437	2249	2886
438	2252	2878
439	2256	2872
440	2259	2864
441	2264	2859
442	2270	2854
443	2274	2848
444	2279	2843
445	2284	2837
446	2288	2830
447	2292	2824
448	2297	2818
449	2301	2812
450	2305	2805
451	2309	2799
452	2313	2793
453	2318	2787
454	2322	2781
455	2326	2775
456	2330	2768
457	2334	2762
458	2339	2757
459	2344	2752
460	2349	2747
461	2353	2741
462	2358	2734
463	2362	2728
464	2366	2722
465	2371	2717
466	2376	2712
467	2380	2705
468	2384	2699
469	2388	2693
470	2393	2687
471	2398	2682
472	2402	2676
473	2407	2671
474	2411	2665
475	2416	2660
476	2420	2653
477	2424	2647
478	2427	2640
479	2431	2634
480	2436	2628
481	2440	2622
482	2444	2616
483	2449	2611
484	2455	2607
485	2460	2601
486	2464	2596
487	2468	2589
488	2471	2582
489	2476	2577
490	2479	2570
491	2481	2562
492	2486	2556
493	2490	2550
494	2493	2544
495	2497	2537
496	2501	2532
497	2505	2526
498	2510	2520
499	2514	2514
500	2518	2508
501	2522	2502
502	2526	2496
503	2530	2490
504	2535	2485
505	2539	2478
506	2543	2473
507	2547	2467
508	2551	2461
509	2556	2456
510	2560	2450
511	2565	2444
512	2569	2439
513	2571	2431
514	2576	2425
515	2581	2421
516	2585	2415
517	2589	2409
518	2593	2403
519	2598	2398
520	2603	2393
521	2608	2389
522	2613	2383
523	2617	2377
524	2621	2372
525	2625	2366
526	2630	2360
527	2632	2353
528	2637	2347
529	2642	2343
530	2646	2337
531	2651	2332
532	2655	2326
533	2661	2322
534	2665	2316
535	2669	2311
536	2673	2305
537	2678	2299
538	2682	2294
539	2687	2289
540	2691	2283
541	2695	2278
542	2700	2272
543	2704	2267
544	2709	2262
545	2714	2256
546	2718	2251
547	2724	2246
548	2731	2243
549	2738	2240
550	2744	2236
551	2752	2233
552	2759	2230
553	2767	2227
554	2772	2223
555	2780	2220
556	2787	2216
557	2798	2216
558	2802	2211
559	2809	2207
560	2814	2202
561	2819	2197
562	2825	2193
563	2831	2189
564	2834	2182
565	2839	2176
566	2847	2174
567	2851	2168
568	2856	2163
569	2860	2158
570	2866	2153
571	2871	2148
572	2877	2144
573	2882	2138
574	2887	2133
575	2893	2129
576	2898	2124
577	2902	2119
578	2907	2113
579	2912	2108
580	2917	2104
581	2923	2099
582	2928	2094
583	2932	2088
584	2936	2083
585	2941	2077
586	2945	2072
587	2950	2067
588	2954	2061
589	2959	2056
590	2964	2051
591	2969	2046
592	2973	2041
593	2978	2035
594	2982	2030
595	2986	2024
596	2990	2018
597	2996	2014
598	3001	2009
599	3006	2004
600	3011	1999
601	3015	1993
602	3020	1988
603	3024	1983
604	3029	1977
605	3033	1972
606	3038	1967
607	3042	1961
608	3046	1956
609	3051	1950
610	3055	1945
611	3059	1939
612	3063	1933
613	3068	1928
614	3072	1923
615	3077	1918
616	3081	1912
617	3086	1907
618	3090	1902
619	3095	1897
620	3100	1892
621	3105	1887
622	3110	1882
623	3114	1876
624	3119	1871
625	3124	1866
626	3129	1861
627	3134	1856
628	3138	1851
629	3141	1845
