visibile_mean,visible_max,visible_min,visible_mean_dist,visible_contrast,visible_entropy,visible_second_moment,IR_mean,IR_max,IR_min
3,140,43.5,0.0833,862.8417,0.0254,3.889,163,240,213.3555
3,135,41.9063,0.079,690.3291,0.0259,3.834,167,239,213.7188
2,126,21.0586,0.0406,308.3583,0.0684,3.1702,174,240,227.5859
4,197,77.4805,0.089,874.4709,0.0243,3.9442,155,239,197.2773
7,193,88.8398,0.0884,810.1126,0.0223,3.9318,150,236,186.0195
5,190,57.1836,0.0568,388.4958,0.0398,3.5269,135,236,195.3125
5,144,42.0391,0.0418,250.875,0.0543,3.2405,94,225,179.1484
3,130,18.2188,0.0297,180.3792,0.1084,2.8236,155,235,216.5117
3,136,44.7813,0.0592,433.3792,0.0394,3.5576,152,238,205.6914
3,124,28.5781,0.0359,234.35,0.1251,2.8862,159,240,220.0352
3,187,86.0547,0.0756,624.3583,0.0265,3.7939,150,239,189.0586
4,191,81.0234,0.0869,787.4542,0.0257,3.8711,150,237,190.6914
3,169,57.9648,0.0844,802.8417,0.0263,3.8562,153,237,203.0938
5,187,78.8047,0.0923,883.4042,0.0224,3.9528,151,236,193.2969
6,181,73.2891,0.0972,1046.5958,0.0217,4.0206,152,234,194.8008
4,148,32.0625,0.0608,546.9709,0.0388,3.5703,155,237,218.5234
4,121,33.7031,0.0579,414.2751,0.0358,3.5909,175,236,218.7148
7,155,59.2305,0.0837,745.0083,0.025,3.8622,162,234,203.8516
5,116,36.0195,0.0703,568.975,0.0315,3.6985,171,234,216.6875
4,78,12.1563,0.0215,107.8208,0.1449,2.5383,193,235,229.9531
4,128,22.0547,0.0403,298.7,0.0823,3.1272,172,236,224.1055
4,127,26.6719,0.0559,403.9792,0.0361,3.5378,167,234,220.6367
6,150,44.6367,0.0844,811.0958,0.0267,3.8723,161,235,212.1094
6,141,51.9727,0.0799,709.2292,0.0259,3.8191,162,237,208.5352
6,140,49.7695,0.0864,789.9916,0.0236,3.896,165,237,210.7266
5,78,17.043,0.0299,140.3542,0.0764,2.9614,195,238,230.6953
6,115,23.8047,0.042,342.0583,0.0733,3.1733,176,237,226.625
7,141,32.9063,0.067,547.2209,0.0325,3.6859,166,237,218.8398
7,145,40.3945,0.0629,490.3209,0.0326,3.6723,165,235,214.9297
9,114,36.5625,0.053,326.45,0.0377,3.4987,184,234,218.4648
12,105,41.4961,0.0588,360.875,0.0347,3.5334,181,233,216.2734
12,137,51.0352,0.072,584.0667,0.028,3.7435,167,233,210.4688
10,182,106.7813,0.1244,1534.4332,0.019,4.1332,151,233,176.25
22,198,129.5039,0.0876,801.9874,0.0233,3.9221,151,225,166.3086
6,215,108.1289,0.0938,950.525,0.0233,3.973,152,236,179.5859
5,213,83.1211,0.0781,701.7667,0.027,3.8126,153,237,190.1406
3,177,26.8125,0.0349,271.0792,0.1171,2.8282,154,239,223.1211
3,195,58.9219,0.0575,614.7667,0.1009,3.1781,153,240,209.625
7,201,121.0664,0.0758,676.35,0.0275,3.7934,77,237,154.6992
8,124,43.4063,0.0398,230.2292,0.0509,3.243,59,227,172.6563
